# phase src dst weight
31 56 18 30.75000000
31 56 22 30.75000000
31 56 26 30.75000000
31 56 30 30.75000000
31 63 19 30.75000000
31 63 23 30.75000000
31 63 27 30.75000000
31 63 31 30.75000000
32 0 0 2.10000000
32 0 5 2.00000000
32 0 6 2.00000000
32 0 7 2.00000000
32 0 8 2.00000000
32 0 13 1.00000000
32 0 14 1.00000000
32 0 15 1.00000000
32 1 0 2.00000000
32 1 1 2.10000000
32 1 6 2.00000000
32 1 7 2.00000000
32 1 8 2.00000000
32 1 9 2.00000000
32 1 14 1.00000000
32 1 15 1.00000000
32 2 0 2.00000000
32 2 1 2.00000000
32 2 2 2.10000000
32 2 7 2.00000000
32 2 8 2.00000000
32 2 9 2.00000000
32 2 10 2.00000000
32 2 15 1.00000000
32 3 0 2.00000000
32 3 1 2.00000000
32 3 2 2.00000000
32 3 3 2.10000000
32 3 8 2.00000000
32 3 9 2.00000000
32 3 10 2.00000000
32 3 11 2.00000000
32 4 1 2.00000000
32 4 2 2.00000000
32 4 3 2.00000000
32 4 4 2.10000000
32 4 9 2.00000000
32 4 10 2.00000000
32 4 11 2.00000000
32 4 12 2.00000000
32 5 2 2.00000000
32 5 3 2.00000000
32 5 4 2.00000000
32 5 5 2.10000000
32 5 10 2.00000000
32 5 11 2.00000000
32 5 12 2.00000000
32 5 13 2.00000000
32 6 3 2.00000000
32 6 4 2.00000000
32 6 5 2.00000000
32 6 6 2.10000000
32 6 11 2.00000000
32 6 12 2.00000000
32 6 13 2.00000000
32 6 14 2.00000000
32 7 4 2.00000000
32 7 5 2.00000000
32 7 6 2.00000000
32 7 7 2.10000000
32 7 12 2.00000000
32 7 13 2.00000000
32 7 14 2.00000000
32 7 15 2.00000000
32 8 8 0.10000000
32 8 13 1.00000000
32 8 14 1.00000000
32 8 15 1.00000000
32 8 16 2.00000000
32 8 21 2.00000000
32 8 22 2.00000000
32 8 23 2.00000000
32 8 24 2.00000000
32 8 29 1.00000000
32 8 30 1.00000000
32 8 31 1.00000000
32 9 9 0.10000000
32 9 14 1.00000000
32 9 15 1.00000000
32 9 16 2.00000000
32 9 17 2.00000000
32 9 22 2.00000000
32 9 23 2.00000000
32 9 24 2.00000000
32 9 25 2.00000000
32 9 30 1.00000000
32 9 31 1.00000000
32 10 10 0.10000000
32 10 15 1.00000000
32 10 16 2.00000000
32 10 17 2.00000000
32 10 18 2.00000000
32 10 23 2.00000000
32 10 24 2.00000000
32 10 25 2.00000000
32 10 26 2.00000000
32 10 31 1.00000000
32 11 11 0.10000000
32 11 16 2.00000000
32 11 17 2.00000000
32 11 18 2.00000000
32 11 19 2.00000000
32 11 24 2.00000000
32 11 25 2.00000000
32 11 26 2.00000000
32 11 27 2.00000000
32 12 12 0.10000000
32 12 17 2.00000000
32 12 18 2.00000000
32 12 19 2.00000000
32 12 20 2.00000000
32 12 25 2.00000000
32 12 26 2.00000000
32 12 27 2.00000000
32 12 28 2.00000000
32 13 13 0.10000000
32 13 18 2.00000000
32 13 19 2.00000000
32 13 20 2.00000000
32 13 21 2.00000000
32 13 26 2.00000000
32 13 27 2.00000000
32 13 28 2.00000000
32 13 29 2.00000000
32 14 14 0.10000000
32 14 19 2.00000000
32 14 20 2.00000000
32 14 21 2.00000000
32 14 22 2.00000000
32 14 27 2.00000000
32 14 28 2.00000000
32 14 29 2.00000000
32 14 30 2.00000000
32 15 15 0.10000000
32 15 20 2.00000000
32 15 21 2.00000000
32 15 22 2.00000000
32 15 23 2.00000000
32 15 28 2.00000000
32 15 29 2.00000000
32 15 30 2.00000000
32 15 31 2.00000000
32 16 16 0.10000000
32 16 29 1.00000000
32 16 30 1.00000000
32 16 31 1.00000000
32 17 17 0.10000000
32 17 30 1.00000000
32 17 31 1.00000000
32 18 18 0.10000000
32 18 31 1.00000000
32 19 19 0.10000000
32 20 20 0.10000000
32 21 21 0.10000000
